RUCS_ID,RUCS_Type_Name,Quantity_acre,Price_unit,Cost_acre,Water_acre,Labor_acre,Truck_Trips_acre
1,Alfalfa,0,0,0,0,0,0
2,Alfalfa Rotation,0,0,0,0,0,0
3,Almond,0,0,0,0,0,0
4,Asparagus,0,0,0,0,0,0
5,Avocado,0,0,0,0,0,0
6,Bean Dried,0,0,0,0,0,0
7,Blackberries,0,0,0,0,0,0
8,Blueberries,0,0,0,0,0,0
9,Broccoli,0,0,0,0,0,0
10,Cherry,0,0,0,0,0,0
11,Corn For/FOD,0,0,0,0,0,0
12,Diversified Farm-Fruit Trees,0,0,0,0,0,0
13,"Diversified Farm-Fruit Trees, Vegetables",0,0,0,0,0,0
14,Diversified Farm-Vegetables,0,0,0,0,0,0
15,Dried Bean,0,0,0,0,0,0
16,Fallow,0,0,0,0,0,0
17,"Grape, Wine",0,0,0,0,0,0
18,No Data,0,0,0,0,0,0
19,Oats for/FOD,0,0,0,0,0,0
20,Pasture,0,0,0,0,0,0
21,Prunes,0,0,0,0,0,0
22,Rangeland,0,0,0,0,0,0
23,Rice Rotation,0,0,0,0,0,0
24,Safflower,0,0,0,0,0,0
25,Seed Rotation,0,0,0,0,0,0
26,Sorghum for/FOD,0,0,0,0,0,0
27,Squash,0,0,0,0,0,0
28,Tomato Rotation,0,0,0,0,0,0
29,Uncultivated Ag,0,0,0,0,0,0
30,Uncultivated Non-Ag,0,0,0,0,0,0
31,Walnuts,0,0,0,0,0,0
32,Wheat,0,0,0,0,0,0
